Date_new,Date,Description,Credit,Debit,Balance,Calculation Balance,Calculation Credit,Calculated Debit,Checker,Transaction Type,counter
03-10-2017,03-Oct-17,By Opening Balance,0,0,-82581433.46,-82581433.46,0,0,True,Others,39
03-10-2017,03-Oct-17,To RTGS[ID:7766 For120313023790 NOVATCHPROJECTS I PVT LTD],0,1000000,-83581433.46,-83581433.46,0,1000000,True,RTGS,39
03-10-2017,03-Oct-17,To Comm. on RTGS[ID:7766 For120313023790 NOVATCHPROJECTS I PVT LTD],0,60,-83581493.46,-83581493.46,0,60,True,RTGS,39
03-10-2017,03-Oct-17,To ABB RPDE SB/GEN/203MINAL MOHAN JOSHISANDEEP FREIGHT CARRIER,0,85974,-83667467.46,-83667467.46,0,85974,True,Others,39
03-10-2017,03-Oct-17,SANDEEP FREIGHT CARRIER,0,200000,-83867467.46,-83867467.46,0,200000,True,Others,39
03-10-2017,03-Oct-17,TATA CAPITAL FINANCIALSERVICES LTDAIR LINK,0,244816,-84112283.46,-84112283.46,0,244816,True,Others,39
03-10-2017,03-Oct-17,AIR LINK,0,6004,-84118287.46,-84118287.46,0,6004,True,Others,39
03-10-2017,03-Oct-17,To NEFT/UTIB-AKSHAYMEHRA-004417276051800[ID:51800],0,10000,-84128287.46,-84128287.46,0,10000,True,NEFT,39
03-10-2017,03-Oct-17,To Comm.onNEFT:/UTIB-AKSHAYMEHRA-004417276051800[ID:51,0,3,-84128290.46,-84128290.46,0,3,True,NEFT,39
03-10-2017,03-Oct-17,To DORV PROCESSEQUIPMENTS PVT LTDTo NEFT/KKBK-SOUMADEEP,0,75000,-84203290.46,-84203290.46,0,75000,True,NEFT,39
03-10-2017,03-Oct-17,To NEFT/KKBK-SOUMADEEPSUKUM-004417276051818[ID:51818],0,21847,-84225137.46,-84225137.46,0,21847,True,NEFT,39
03-10-2017,03-Oct-17,To Comm.onNEFT:/KKBK-SOUMADEEPSUKUM-004417276051818[ID:51,0,6,-84225143.46,-84225143.46,0,6,True,NEFT,39
04-10-2017,04-Oct-17,By RTGS ID:7769 [From52205850207 BHARAT HEAVYELECTRICALS LTD-TRICHY,2363682,0,-81861461.46,-81861461.46,2363682,0,True,RTGS,39
04-10-2017,04-Oct-17,RANU GAS SERVICE,0,3956,-81865417.46,-81865417.46,0,3956,True,Others,39
04-10-2017,04-Oct-17,MANIBHADRA TUBECORPORATIONParticulars,0,77564,-81942981.46,-81942981.46,0,77564,True,Others,39
04-10-2017,04-Oct-17,KOTAK MAHINDRA BANK LTD,0,146889,-82089870.46,-82089870.46,0,146889,True,Others,39
04-10-2017,04-Oct-17,NAVDA SERVICE STATION,0,10000,-82099870.46,-82099870.46,0,10000,True,Others,39
04-10-2017,04-Oct-17,"To REALISATION OF BILLSBGR-10, 05By Mrg",0,1627462,-83727332.46,-83727332.46,0,1627462,True,Others,39
04-10-2017,04-Oct-17,By MrgRev.GEN(BD)7/1130/HundiNo.BGR/17-18/05,56900,0,-83670432.46,-83670432.46,56900,0,True,Others,39
04-10-2017,04-Oct-17,To Hundi No (BGR/17-18/05),0,7829,-83678261.46,-83678261.46,0,7829,True,Others,39
04-10-2017,04-Oct-17,By MrgRev.GEN(BD)7/1128/HundiNo.BGR/2017-18/010,105846.2,0,-83572415.26,-83572415.26,105846.199999988,0,True,Others,39
04-10-2017,04-Oct-17,To Hundi No (BGR/2017-18/010),0,4045,-83576460.26,-83576460.26,0,4045,True,Others,39
05-10-2017,05-Oct-17,To REAL OF BILL BHEL/17-18/03,0,305271,-83881731.26,-83881731.26,0,305271,True,Others,39
05-10-2017,05-Oct-17,By MrgRev.GEN(BD)7/1129/HundiNo.BHEL /17-18/ 03,30527.1,0,-83851204.16,-83851204.16,30527.1000000089,0,True,Others,39
05-10-2017,05-Oct-17,To Hundi No (BHEL /17-18/ 03),0,817,-83852021.16,-83852021.16,0,817,True,Others,39
05-10-2017,05-Oct-17,To ACH DR IVL FINANC,0,179511,-84031532.16,-84031532.16,0,179511,True,NACH,39
