"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"COALINDIA","EQ","08-Aug-2019","        206.10","        206.15","        213.30","        204.85","        212.00","        211.85","        209.62","    8622272","          1807359587.00","     104449","    4034274","         46.79"
"COALINDIA","EQ","09-Aug-2019","        211.85","        213.90","        214.00","        207.00","        207.30","        207.60","        209.45","    7027377","          1471903930.95","      63632","    2939973","         41.84"
"COALINDIA","EQ","13-Aug-2019","        207.60","        207.90","        211.45","        202.50","        204.50","        203.75","        207.26","    6907370","          1431601204.75","      72118","    3010894","         43.59"
"COALINDIA","EQ","14-Aug-2019","        203.75","        208.50","        208.50","        195.65","        199.90","        200.50","        200.90","   16687905","          3352566612.05","     113299","    6770489","         40.57"
"COALINDIA","EQ","16-Aug-2019","        200.50","        200.00","        202.85","        199.70","        202.10","        201.95","        201.53","   12556891","          2530608174.85","     102526","    8487786","         67.59"
"COALINDIA","EQ","19-Aug-2019","        201.95","        202.70","        203.10","        198.55","        198.90","        198.95","        200.94","    5848151","          1175118090.60","      54185","    3326378","         56.88"
"COALINDIA","EQ","20-Aug-2019","        198.95","        199.40","        199.50","        194.40","        195.15","        195.30","        195.64","    7496337","          1466570445.80","      67123","    4408231","         58.81"
"COALINDIA","EQ","21-Aug-2019","        195.30","        195.00","        195.45","        188.10","        188.65","        188.80","        191.74","   10788976","          2068652187.05","     102946","    5682926","         52.67"
"COALINDIA","EQ","22-Aug-2019","        188.80","        188.00","        188.45","        177.70","        181.10","        180.85","        182.07","   13370852","          2434481303.20","     105683","    5733920","         42.88"
"COALINDIA","EQ","23-Aug-2019","        180.85","        180.85","        189.40","        180.15","        187.80","        188.00","        185.04","   11447263","          2118219566.35","     104146","    5855955","         51.16"
"COALINDIA","EQ","26-Aug-2019","        188.00","        191.00","        191.90","        182.55","        188.60","        188.75","        185.95","    8851543","          1645958305.15","     116815","    4022137","         45.44"
"COALINDIA","EQ","27-Aug-2019","        188.75","        190.00","        194.25","        189.00","        191.75","        191.85","        192.29","   11357212","          2183901971.80","     157202","    6871538","         60.50"
"COALINDIA","EQ","28-Aug-2019","        191.85","        189.00","        192.60","        184.20","        184.70","        185.05","        188.12","   10791130","          2030063395.75","      99248","    4530903","         41.99"
"COALINDIA","EQ","29-Aug-2019","        185.05","        183.30","        190.30","        182.10","        189.75","        189.00","        187.54","   31069292","          5826680439.45","     121426","   16229885","         52.24"
"COALINDIA","EQ","30-Aug-2019","        189.00","        189.75","        190.45","        182.15","        184.70","        184.75","        185.10","   11880019","          2199008951.35","     109641","    4388080","         36.94"
"COALINDIA","EQ","03-Sep-2019","        184.75","        183.00","        185.70","        180.05","        180.05","        181.05","        183.50","    7054535","          1294504542.20","      51090","    2443998","         34.64"
"COALINDIA","EQ","04-Sep-2019","        181.05","        181.05","        183.40","        179.10","        182.35","        182.15","        181.59","    6030798","          1095113252.65","      62727","    1547357","         25.66"
"COALINDIA","EQ","05-Sep-2019","        182.15","        183.90","        196.40","        183.80","        195.45","        194.85","        192.77","   29083353","          5606486747.35","     172346","   10668205","         36.68"
"COALINDIA","EQ","06-Sep-2019","        194.85","        196.15","        199.50","        192.80","        198.10","        198.60","        196.38","   16095238","          3160743540.15","      84300","    5601960","         34.81"
"COALINDIA","EQ","09-Sep-2019","        198.60","        198.10","        200.10","        196.80","        199.90","        199.35","        198.60","    5382211","          1068922934.95","      46091","    1505470","         27.97"
"COALINDIA","EQ","11-Sep-2019","        199.35","        199.80","        203.00","        195.55","        195.80","        196.70","        198.97","    8755389","          1742031165.30","      81811","    3851912","         43.99"
"COALINDIA","EQ","12-Sep-2019","        196.70","        197.60","        199.20","        195.40","        197.65","        197.70","        197.45","    6446408","          1272819435.55","      62419","    2732579","         42.39"
"COALINDIA","EQ","13-Sep-2019","        197.70","        198.65","        199.60","        194.50","        199.40","        198.20","        196.75","    6979583","          1373226541.95","      59602","    3089477","         44.26"
"COALINDIA","EQ","16-Sep-2019","        198.20","        197.65","        201.20","        196.60","        200.50","        200.55","        198.90","    3961273","           787914767.30","      28997","    1512252","         38.18"
"COALINDIA","EQ","17-Sep-2019","        200.55","        200.60","        200.60","        196.00","        197.40","        197.60","        198.53","    5885854","          1168512924.30","      57146","    3110696","         52.85"
"COALINDIA","EQ","18-Sep-2019","        197.60","        198.45","        199.20","        191.75","        192.45","        192.35","        194.04","    5488038","          1064904927.70","      60204","    1320693","         24.06"
"COALINDIA","EQ","19-Sep-2019","        192.35","        191.30","        194.50","        189.50","        193.70","        193.45","        192.17","    7916117","          1521249565.30","      58989","    2628498","         33.20"
"COALINDIA","EQ","20-Sep-2019","        193.45","        193.70","        202.40","        188.85","        200.30","        200.05","        198.45","   30567231","          6066037219.70","     144944","   21182432","         69.30"
"COALINDIA","EQ","23-Sep-2019","        200.05","        205.50","        208.40","        200.55","        202.25","        202.70","        202.95","    9396444","          1907032777.05","      91815","    3647404","         38.82"
"COALINDIA","EQ","24-Sep-2019","        202.70","        203.60","        205.70","        197.10","        198.40","        198.15","        201.05","    9662821","          1942662607.65","      76472","    4166439","         43.12"
"COALINDIA","EQ","25-Sep-2019","        198.15","        193.00","        198.70","        191.15","        193.00","        192.60","        195.61","    6873148","          1344443156.70","      59761","    2717231","         39.53"
"COALINDIA","EQ","26-Sep-2019","        192.60","        190.65","        204.85","        189.55","        203.00","        203.30","        199.95","   20274950","          4053882677.00","     109327","   10049459","         49.57"
"COALINDIA","EQ","27-Sep-2019","        203.30","        203.30","        204.80","        196.70","        199.50","        199.35","        200.33","   10240429","          2051480143.05","      84402","    3696157","         36.09"
"COALINDIA","EQ","30-Sep-2019","        199.35","        197.50","        200.75","        196.55","        199.85","        199.85","        199.02","    7578946","          1508395481.55","      79275","    3471119","         45.80"
"COALINDIA","EQ","01-Oct-2019","        199.85","        200.00","        200.60","        190.75","        194.15","        194.10","        194.94","   10416295","          2030556747.60","      54682","    5001096","         48.01"
"COALINDIA","EQ","03-Oct-2019","        194.10","        193.00","        193.00","        185.25","        187.40","        186.75","        188.04","   12270678","          2307437984.75","     102074","    4381316","         35.71"
"COALINDIA","EQ","04-Oct-2019","        186.75","        187.70","        189.35","        182.15","        186.45","        185.80","        185.88","   12238072","          2274752793.75","     110583","    4125309","         33.71"
"COALINDIA","EQ","07-Oct-2019","        185.80","        186.95","        188.20","        183.00","        184.00","        184.40","        185.15","    6160378","          1140571390.80","      60092","    1988226","         32.27"
"COALINDIA","EQ","09-Oct-2019","        184.40","        184.80","        186.70","        183.00","        185.70","        185.35","        185.23","    5808768","          1075934921.00","      40309","    2342231","         40.32"
"COALINDIA","EQ","10-Oct-2019","        185.35","        185.00","        185.90","        183.70","        184.70","        184.55","        185.00","    4047661","           748825398.90","      29251","    1321312","         32.64"
"COALINDIA","EQ","11-Oct-2019","        184.55","        185.25","        190.25","        185.25","        189.00","        189.05","        188.29","    7104915","          1337792262.60","      50351","    2146233","         30.21"
"COALINDIA","EQ","14-Oct-2019","        189.05","        189.60","        190.80","        187.95","        190.30","        190.10","        189.78","    6340044","          1203206862.70","      46022","    2716471","         42.85"
"COALINDIA","EQ","15-Oct-2019","        190.10","        189.00","        192.70","        188.05","        191.25","        191.15","        190.58","    5459056","          1040402823.55","      39669","    1753496","         32.12"
"COALINDIA","EQ","16-Oct-2019","        191.15","        192.30","        196.20","        191.35","        194.20","        194.55","        194.46","    7396404","          1438305488.75","      82432","    2745869","         37.12"
