"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SBIN","EQ","08-Aug-2019","        289.90","        290.00","        295.50","        285.60","        295.20","        294.35","        290.32","   32929233","          9559948985.35","     251938","   11332747","         34.42"
"SBIN","N5","08-Aug-2019","      11476.68","      11500.00","      11510.00","      11460.00","      11472.00","      11471.86","      11476.71","        240","             2754409.58","         36","        215","         89.58"
"SBIN","EQ","09-Aug-2019","        294.35","        296.30","        298.00","        290.05","        291.85","        291.35","        294.37","   23377581","          6881753326.25","     176813","    5896369","         25.22"
"SBIN","N2","09-Aug-2019","      11210.00","      11200.00","      11269.90","      11200.00","      11269.90","      11252.84","      11207.12","         80","              896569.89","         10","         80","        100.00"
"SBIN","N5","09-Aug-2019","      11471.86","      11499.99","      11500.00","      11450.00","      11450.00","      11450.00","      11476.78","        131","             1503458.74","         24","        120","         91.60"
"SBIN","EQ","13-Aug-2019","        291.35","        290.90","        291.55","        282.50","        283.00","        283.35","        287.06","   24231272","          6955786093.45","     187371","    9930136","         40.98"
"SBIN","N5","13-Aug-2019","      11450.00","      11030.00","      11515.00","      10120.00","      11515.00","      11515.00","      11429.44","        339","             3874578.70","         33","        315","         92.92"
"SBIN","N6","13-Aug-2019","      11200.00","      11250.00","      11254.50","      11250.00","      11254.50","      11254.41","      11254.08","         13","              146303.00","         11","         13","        100.00"
"SBIN","EQ","14-Aug-2019","        283.35","        285.05","        291.25","        284.50","        289.00","        289.75","        288.44","   18523649","          5342961725.35","     161888","    5691581","         30.73"
"SBIN","N5","14-Aug-2019","      11515.00","      11510.00","      11530.00","      11510.00","      11530.00","      11529.59","      11520.47","        238","             2741872.00","         40","        238","        100.00"
"SBIN","EQ","16-Aug-2019","        289.75","        287.95","        292.80","        284.30","        290.30","        290.90","        288.71","   20047399","          5787837945.35","     152551","    4429625","         22.10"
"SBIN","N2","16-Aug-2019","      11252.84","      11259.84","      11259.84","      11102.00","      11150.00","      11150.00","      11212.65","          8","               89701.20","          3","          8","        100.00"
"SBIN","N5","16-Aug-2019","      11529.59","      11569.99","      11699.00","      11465.18","      11639.90","      11618.27","      11602.79","        485","             5627353.26","         74","        297","         61.24"
"SBIN","N6","16-Aug-2019","      11254.41","      11200.00","      11200.00","      11200.00","      11200.00","      11200.00","      11200.00","          1","               11200.00","          1","          1","        100.00"
"SBIN","EQ","19-Aug-2019","        290.90","        292.00","        292.40","        286.00","        286.55","        286.85","        288.64","   19831459","          5724221299.75","     168696","    6030134","         30.41"
"SBIN","N2","19-Aug-2019","      11150.00","      11155.00","      11155.00","      11155.00","      11155.00","      11155.00","      11155.00","          3","               33465.00","          1","          3","        100.00"
"SBIN","N5","19-Aug-2019","      11618.27","      11505.00","      11679.00","      11505.00","      11605.00","      11607.35","      11607.07","        273","             3168728.95","         62","        261","         95.60"
"SBIN","N6","19-Aug-2019","      11200.00","      11055.00","      11299.00","      11055.00","      11299.00","      11299.00","      11177.00","         10","              111770.00","          2","          0","          0.00"
"SBIN","EQ","20-Aug-2019","        286.85","        287.30","        287.40","        280.65","        283.85","        283.70","        283.06","   23204417","          6568227547.55","     163952","    7138137","         30.76"
"SBIN","N2","20-Aug-2019","      11155.00","      11268.70","      11268.70","      11250.00","      11260.00","      11260.00","      11263.04","         24","              270312.90","         11","         24","        100.00"
"SBIN","N5","20-Aug-2019","      11607.35","      11600.00","      11636.00","      11595.00","      11625.00","      11634.46","      11618.90","        373","             4333851.02","         37","        372","         99.73"
"SBIN","N6","20-Aug-2019","      11299.00","      11250.00","      11255.00","      11250.00","      11255.00","      11251.66","      11251.67","         12","              135020.00","          3","          8","         66.67"
"SBIN","EQ","21-Aug-2019","        283.70","        285.50","        285.60","        276.30","        276.80","        277.40","        280.52","   28226325","          7918022036.20","     179601","    8435664","         29.89"
"SBIN","N2","21-Aug-2019","      11260.00","      11290.00","      11290.00","      11290.00","      11290.00","      11290.00","      11290.00","          2","               22580.00","          1","          2","        100.00"
"SBIN","N5","21-Aug-2019","      11634.46","      11634.30","      11659.90","      11634.30","      11655.00","      11655.00","      11651.28","         56","              652471.90","         15","         56","        100.00"
"SBIN","N6","21-Aug-2019","      11251.66","      11250.00","      11250.00","      11250.00","      11250.00","      11250.00","      11250.00","         47","              528750.00","          6","         47","        100.00"
"SBIN","EQ","22-Aug-2019","        277.40","        278.30","        278.30","        267.30","        268.00","        268.55","        272.68","   27728925","          7561178237.35","     171239","   10596841","         38.22"
"SBIN","N2","22-Aug-2019","      11290.00","      11291.00","      11310.00","      11205.00","      11310.00","      11280.69","      11267.25","         36","              405620.82","         15","         36","        100.00"
"SBIN","N5","22-Aug-2019","      11655.00","      11651.00","      11660.00","      11640.00","      11650.00","      11642.08","      11649.32","        213","             2481306.00","         47","        213","        100.00"
"SBIN","N6","22-Aug-2019","      11250.00","      11299.99","      11299.99","      11200.01","      11250.00","      11250.00","      11250.00","         52","              585000.00","          4","         51","         98.08"
"SBIN","EQ","23-Aug-2019","        268.55","        267.10","        275.25","        262.70","        271.35","        271.10","        269.82","   35212444","          9501058683.20","     225358","   12871607","         36.55"
"SBIN","N2","23-Aug-2019","      11280.69","      11250.00","      11250.00","      11250.00","      11250.00","      11250.00","      11250.00","         50","              562500.00","          4","         50","        100.00"
"SBIN","N5","23-Aug-2019","      11642.08","      11635.00","      11635.00","      11610.00","      11620.00","      11621.44","      11622.17","        219","             2545256.08","         69","        219","        100.00"
"SBIN","N6","23-Aug-2019","      11250.00","      11150.00","      11269.99","      11150.00","      11269.99","      11269.99","      11210.00","          2","               22419.99","          2","          1","         50.00"
"SBIN","EQ","26-Aug-2019","        271.10","        288.00","        288.00","        270.00","        279.55","        280.20","        277.11","   64066440","         17753747004.50","     387730","   17661121","         27.57"
"SBIN","N2","26-Aug-2019","      11250.00","      11265.00","      11300.00","      11260.00","      11300.00","      11262.81","      11262.81","         32","              360410.00","         10","         32","        100.00"
"SBIN","N5","26-Aug-2019","      11621.44","      11621.00","      11630.00","      11615.00","      11630.00","      11630.00","      11620.18","        105","             1220119.00","         23","        105","        100.00"
"SBIN","N6","26-Aug-2019","      11269.99","      11270.00","      11270.00","      11250.00","      11250.00","      11250.00","      11251.82","         22","              247540.00","          3","         22","        100.00"
"SBIN","EQ","27-Aug-2019","        280.20","        284.00","        288.00","        282.60","        285.85","        285.70","        285.13","   45164811","         12877858696.35","     323509","   18294675","         40.51"
"SBIN","N2","27-Aug-2019","      11262.81","      11270.00","      11270.10","      11265.81","      11265.81","      11269.67","      11269.73","         60","              676183.74","          7","         60","        100.00"
"SBIN","N5","27-Aug-2019","      11630.00","      11590.00","      11630.00","      11590.00","      11600.00","      11602.86","      11605.39","         97","             1125723.02","         23","         96","         98.97"
"SBIN","N6","27-Aug-2019","      11250.00","      11300.00","      11300.00","      11300.00","      11300.00","      11300.00","      11300.00","         10","              113000.00","          2","         10","        100.00"
"SBIN","EQ","28-Aug-2019","        285.70","        286.65","        286.65","        282.20","        285.40","        284.90","        284.45","   18979998","          5398942456.10","     128376","    5072283","         26.72"
"SBIN","N5","28-Aug-2019","      11602.86","      11610.00","      11610.00","      11571.60","      11571.60","      11577.24","      11591.29","        401","             4648106.74","         36","        398","         99.25"
"SBIN","N6","28-Aug-2019","      11300.00","      11270.00","      11270.00","      11101.00","      11110.00","      11122.64","      11152.11","        133","             1483230.15","         33","        133","        100.00"
"SBIN","EQ","29-Aug-2019","        284.90","        283.20","        284.30","        273.30","        275.50","        274.50","        277.91","   27083514","          7526914316.05","     196887","    7000321","         25.85"
"SBIN","N2","29-Aug-2019","      11269.67","      11225.00","      11275.00","      11225.00","      11275.00","      11274.24","      11238.02","         55","              618090.95","          8","         50","         90.91"
"SBIN","N5","29-Aug-2019","      11577.24","      11556.00","      11584.00","      11500.00","      11501.00","      11505.33","      11523.03","        567","             6533559.77","         58","        530","         93.47"
"SBIN","N6","29-Aug-2019","      11122.64","      11040.64","      11145.00","      11040.64","      11105.00","      11100.12","      11100.58","         96","             1065655.64","          9","         95","         98.96"
"SBIN","EQ","30-Aug-2019","        274.50","        275.95","        277.95","        266.85","        273.40","        273.85","        271.74","   45702652","         12419446236.15","     320718","   13515784","         29.57"
"SBIN","N2","30-Aug-2019","      11274.24","      11201.00","      11250.00","      11201.00","      11250.00","      11225.50","      11208.00","         14","              156912.00","          4","         14","        100.00"
"SBIN","N5","30-Aug-2019","      11505.33","      11495.00","      11505.00","      11435.00","      11472.99","      11462.99","      11464.04","        674","             7726761.80","         47","        664","         98.52"
"SBIN","N6","30-Aug-2019","      11100.12","      11101.00","      11101.00","      11044.00","      11044.00","      11052.00","      11087.00","          7","               77609.00","          3","          7","        100.00"
"SBIN","EQ","03-Sep-2019","        273.85","        272.00","        272.00","        266.95","        268.15","        268.40","        268.86","   21241863","          5711000909.35","     174595","    6506079","         30.63"
"SBIN","N5","03-Sep-2019","      11462.99","      11463.00","      11490.00","      11440.00","      11440.00","      11450.20","      11457.11","        505","             5785838.90","         62","        478","         94.65"
"SBIN","N6","03-Sep-2019","      11052.00","      11201.00","      11201.00","      11158.00","      11159.00","      11159.00","      11160.29","         21","              234366.00","          5","         21","        100.00"
"SBIN","EQ","04-Sep-2019","        268.40","        269.70","        275.85","        267.25","        274.80","        275.10","        272.73","   27309675","          7448253198.90","     173305","    3934204","         14.41"
"SBIN","N2","04-Sep-2019","      11225.50","      11225.00","      11280.00","      11225.00","      11280.00","      11280.00","      11239.47","         19","              213550.00","          3","         19","        100.00"
"SBIN","N5","04-Sep-2019","      11450.20","      11450.00","      11455.00","      11430.00","      11440.00","      11436.53","      11440.12","        219","             2505387.13","         47","        219","        100.00"
"SBIN","EQ","05-Sep-2019","        275.10","        275.00","        276.35","        271.05","        273.50","        273.30","        273.54","   25085139","          6861802592.40","     152118","    6712399","         26.76"
"SBIN","N2","05-Sep-2019","      11280.00","      11227.00","      11280.00","      11227.00","      11280.00","      11280.00","      11246.00","         28","              314888.00","          7","         28","        100.00"
"SBIN","N5","05-Sep-2019","      11436.53","      11432.00","      11469.99","      11432.00","      11445.00","      11439.33","      11446.00","        314","             3594043.03","         44","        313","         99.68"
"SBIN","N6","05-Sep-2019","      11159.00","      11100.00","      11100.00","      11100.00","      11100.00","      11100.00","      11100.00","         33","              366300.00","          4","         33","        100.00"
"SBIN","EQ","06-Sep-2019","        273.30","        275.05","        277.00","        272.10","        273.50","        273.95","        274.82","   16675146","          4582664398.50","     135656","    3734402","         22.40"
"SBIN","N2","06-Sep-2019","      11280.00","      11280.00","      11280.00","      11061.10","      11130.01","      11130.01","      11136.96","         72","              801861.22","         18","         68","         94.44"
"SBIN","N5","06-Sep-2019","      11439.33","      11431.10","      11433.01","      11360.00","      11400.00","      11393.35","      11411.02","        762","             8695196.53","         91","        738","         96.85"
"SBIN","N6","06-Sep-2019","      11100.00","      11100.00","      11100.00","      11051.00","      11051.00","      11051.00","      11099.04","         51","              566051.00","          2","         51","        100.00"
"SBIN","EQ","09-Sep-2019","        273.95","        273.95","        278.70","        271.00","        277.90","        278.00","        276.53","   18616889","          5148085057.30","     136590","    4635480","         24.90"
"SBIN","N2","09-Sep-2019","      11130.01","      11130.00","      11312.00","      11130.00","      11312.00","      11312.00","      11243.13","         16","              179890.00","          8","         16","        100.00"
"SBIN","N5","09-Sep-2019","      11393.35","      11405.00","      11410.00","      11371.00","      11400.00","      11399.99","      11399.35","        204","             2325468.07","         32","        202","         99.02"
"SBIN","N6","09-Sep-2019","      11051.00","      11062.00","      11062.00","      11062.00","      11062.00","      11062.00","      11062.00","          5","               55310.00","          1","          5","        100.00"
"SBIN","EQ","11-Sep-2019","        278.00","        278.50","        285.85","        278.50","        285.20","        285.25","        283.25","   20999669","          5948164600.70","     180778","    7483710","         35.64"
"SBIN","N2","11-Sep-2019","      11312.00","      11211.00","      11290.00","      11211.00","      11290.00","      11274.28","      11268.81","         16","              180301.00","          7","         16","        100.00"
"SBIN","N5","11-Sep-2019","      11399.99","      11400.00","      11400.00","      11380.05","      11399.99","      11399.42","      11397.79","        440","             5015026.31","         78","        440","        100.00"
"SBIN","N6","11-Sep-2019","      11062.00","      11150.00","      11150.00","      11150.00","      11150.00","      11150.00","      11150.00","         20","              223000.00","          5","         20","        100.00"
"SBIN","EQ","12-Sep-2019","        285.25","        286.75","        288.80","        284.15","        285.95","        287.05","        287.03","   21964832","          6304556952.25","     160923","    6655774","         30.30"
"SBIN","N2","12-Sep-2019","      11274.28","      11295.00","      11310.00","      11280.00","      11280.00","      11280.00","      11302.80","         54","              610351.00","          5","         54","        100.00"
"SBIN","N5","12-Sep-2019","      11399.42","      11391.00","      11410.00","      11385.00","      11387.00","      11389.87","      11395.09","        281","             3202019.48","         65","        245","         87.19"
"SBIN","N6","12-Sep-2019","      11150.00","      11150.00","      11150.00","      11150.00","      11150.00","      11150.00","      11150.00","          5","               55750.00","          1","          5","        100.00"
"SBIN","EQ","13-Sep-2019","        287.05","        285.00","        292.50","        282.00","        291.90","        291.70","        286.52","   27303181","          7823035884.95","     177127","    8231491","         30.15"
"SBIN","N2","13-Sep-2019","      11280.00","      11280.00","      11300.00","      11280.00","      11300.00","      11300.00","      11294.04","         47","              530820.00","         29","         47","        100.00"
"SBIN","N5","13-Sep-2019","      11389.87","      11409.00","      11409.00","      11350.00","      11350.00","      11364.22","      11379.42","        524","             5962814.43","         72","        458","         87.40"
"SBIN","N6","13-Sep-2019","      11150.00","      11150.00","      11199.00","      11150.00","      11199.00","      11199.00","      11181.18","         11","              122993.00","          4","         11","        100.00"
"SBIN","EQ","16-Sep-2019","        291.70","        288.20","        290.45","        283.80","        284.30","        284.70","        286.90","   18267680","          5241026312.25","     168910","    4758077","         26.05"
"SBIN","N2","16-Sep-2019","      11300.00","      11250.00","      11311.00","      11220.00","      11311.00","      11311.00","      11253.87","         23","              258839.00","          6","         23","        100.00"
"SBIN","N5","16-Sep-2019","      11364.22","      11397.99","      11397.99","      11349.00","      11360.00","      11363.48","      11360.74","        298","             3385500.04","         57","        244","         81.88"
"SBIN","EQ","17-Sep-2019","        284.70","        285.00","        286.45","        273.00","        274.15","        273.95","        279.87","   21533362","          6026537240.55","     179478","    4309474","         20.01"
"SBIN","N2","17-Sep-2019","      11311.00","      11280.00","      11280.00","      11225.20","      11225.20","      11241.58","      11249.89","        146","             1642483.95","         15","        146","        100.00"
"SBIN","N5","17-Sep-2019","      11363.48","      11360.00","      11360.00","      11343.00","      11346.01","      11351.20","      11351.80","        657","             7458135.18","         62","        652","         99.24"
"SBIN","EQ","18-Sep-2019","        273.95","        277.20","        282.95","        274.40","        280.40","        280.40","        279.19","   25478758","          7113474302.55","     184875","    4431881","         17.39"
"SBIN","N2","18-Sep-2019","      11241.58","      11226.00","      11226.00","      11212.05","      11220.00","      11220.00","      11219.32","         64","              718036.35","         18","         64","        100.00"
"SBIN","N5","18-Sep-2019","      11351.20","      11388.00","      11388.00","      11349.00","      11379.90","      11373.42","      11372.05","        945","            10746588.57","        121","        766","         81.06"
"SBIN","EQ","19-Sep-2019","        280.40","        279.95","        279.95","        273.05","        274.50","        274.05","        276.25","   23387797","          6460886044.90","     305798","    5412507","         23.14"
"SBIN","N2","19-Sep-2019","      11220.00","      11220.00","      11300.00","      11220.00","      11300.00","      11300.00","      11270.22","         23","              259215.01","         11","         23","        100.00"
"SBIN","N5","19-Sep-2019","      11373.42","      11374.00","      11380.00","      11356.00","      11357.00","      11357.46","      11364.75","        617","             7012051.74","         61","        597","         96.76"
"SBIN","N6","19-Sep-2019","      11199.00","      11201.01","      11201.01","      11199.00","      11199.00","      11199.00","      11200.01","          2","               22400.01","          2","          2","        100.00"
"SBIN","EQ","20-Sep-2019","        274.05","        274.50","        307.65","        268.40","        301.75","        301.70","        291.60","   84481749","         24634933524.60","     458744","   23851235","         28.23"
"SBIN","N2","20-Sep-2019","      11300.00","      11300.00","      11300.00","      11228.00","      11300.00","      11300.00","      11282.25","         65","              733346.00","         12","         65","        100.00"
"SBIN","N5","20-Sep-2019","      11357.46","      11354.05","      11379.99","      11341.90","      11341.90","      11343.13","      11349.05","        513","             5822061.71","         77","        422","         82.26"
